"","ImageNumber","Count_Nuclei","FileName_Dna","FileName_Overlay","ImageQuality_PowerLogLogSlope_Dna","Mean_Nuclei_AreaShape_Area","Mean_Nuclei_Intensity_IntegratedIntensity_Dna","Mean_Nuclei_Intensity_MaxIntensity_Dna","Mean_Nuclei_Intensity_MeanIntensity_Dna","Metadata_gene","Metadata_plate","Metadata_posNum","Metadata_siRNA","Metadata_timeNum","Metadata_wellNum","PathName_Dna","PathName_Overlay","Metadata_gene_siRNA","Metadata_batch_treatment"
"11",11,369,"EMBO_2012_Group1--empty--empty--W0004--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0004--P001--T00090--Z000--C01.ome.png.jpg",-1.292255077,574.4769648,7.965188408,0.020562642,0.013381332,"empty","EMBO_2012_Group1",1,"empty",90,4,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00004--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"12",12,403,"EMBO_2012_Group1--s7424--INCENP--W0001--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--s7424--INCENP--W0001--P001--T00090--Z000--C01.ome.png.jpg",-1.225275121,762.4416873,11.89792325,0.025455122,0.014728588,"INCENP","EMBO_2012_Group1",1,"s7424",90,1,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00001--s7424--INCENP/P00001--s7424--INCENP","/g/EMBO_HTM_2012--cp/images","INCENP_s7424","EMBO_2012_Group1__INCENP"
"13",13,372,"EMBO_2012_Group1--XWNeg9--XWNeg9--W0043--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--XWNeg9--XWNeg9--W0043--P001--T00090--Z000--C01.ome.png.jpg",-1.258138317,565.3064516,7.302815316,0.018683772,0.012516982,"XWNeg9","EMBO_2012_Group1",1,"XWNeg9",90,43,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00043--XWNeg9--XWNeg9/P00001--XWNeg9--XWNeg9","/g/EMBO_HTM_2012--cp/images","XWNeg9_XWNeg9","EMBO_2012_Group1__XWNeg9"
"14",14,92,"EMBO_2012_Group1--s18928--CKAP5--W0044--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--s18928--CKAP5--W0044--P001--T00090--Z000--C01.ome.png.jpg",-0.707783001,337.3478261,7.63050996,0.050798779,0.022716811,"CKAP5","EMBO_2012_Group1",1,"s18928",90,44,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00044--s18928--CKAP5/P00001--s18928--CKAP5","/g/EMBO_HTM_2012--cp/images","CKAP5_s18928","EMBO_2012_Group1__CKAP5"
"15",15,207,"EMBO_2012_Group1--empty--empty--W0041--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0041--P001--T00090--Z000--C01.ome.png.jpg",-1.222491718,548.826087,7.007450743,0.019188177,0.012347421,"empty","EMBO_2012_Group1",1,"empty",90,41,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00041--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"16",16,302,"EMBO_2012_Group1--s7424--INCENP--W0042--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--s7424--INCENP--W0042--P001--T00090--Z000--C01.ome.png.jpg",-1.281457702,658.9470199,9.052350599,0.021045123,0.012868737,"INCENP","EMBO_2012_Group1",1,"s7424",90,42,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00042--s7424--INCENP/P00001--s7424--INCENP","/g/EMBO_HTM_2012--cp/images","INCENP_s7424","EMBO_2012_Group1__INCENP"
"17",17,144,"EMBO_2012_Group1--empty--empty--W0082--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0082--P001--T00090--Z000--C01.ome.png.jpg",-1.209523663,599.4027778,10.48183198,0.030948159,0.016966568,"empty","EMBO_2012_Group1",1,"empty",90,82,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00082--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"18",18,208,"EMBO_2012_Group1--empty--empty--W0083--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0083--P001--T00090--Z000--C01.ome.png.jpg",-1.237905018,601.3653846,10.15453472,0.028051899,0.016572319,"empty","EMBO_2012_Group1",1,"empty",90,83,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00083--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"19",19,170,"EMBO_2012_Group1--s2748--CDC20--W0084--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--s2748--CDC20--W0084--P001--T00090--Z000--C01.ome.png.jpg",-1.077569086,589.5941176,10.14644261,0.034852334,0.017329764,"CDC20","EMBO_2012_Group1",1,"s2748",90,84,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00084--s2748--CDC20/P00001--s2748--CDC20","/g/EMBO_HTM_2012--cp/images","CDC20_s2748","EMBO_2012_Group1__CDC20"
"20",20,105,"EMBO_2012_Group1--s449--PLK1--W0081--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--s449--PLK1--W0081--P001--T00090--Z000--C01.ome.png.jpg",-0.918256534,483.7047619,9.138877938,0.04320963,0.018601199,"PLK1","EMBO_2012_Group1",1,"s449",90,81,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00081--s449--PLK1/P00001--s449--PLK1","/g/EMBO_HTM_2012--cp/images","PLK1_s449","EMBO_2012_Group1__PLK1"
"21",21,190,"EMBO_2012_Group1--empty--empty--W0075--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0075--P001--T00090--Z000--C01.ome.png.jpg",-1.479049052,568.3421053,7.20290948,0.017608187,0.011971642,"empty","EMBO_2012_Group1",1,"empty",90,75,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00075--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"22",22,417,"EMBO_2012_Group1--empty--empty--W0073--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0073--P001--T00090--Z000--C01.ome.png.jpg",-1.274904307,549.5395683,6.918863857,0.01834349,0.012209048,"empty","EMBO_2012_Group1",1,"empty",90,73,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00073--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"23",23,265,"EMBO_2012_Group1--empty--empty--W0076--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0076--P001--T00090--Z000--C01.ome.png.jpg",-1.353381939,563.3811321,6.990921524,0.017674039,0.012070184,"empty","EMBO_2012_Group1",1,"empty",90,76,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00076--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"24",24,376,"EMBO_2012_Group1--empty--empty--W0074--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0074--P001--T00090--Z000--C01.ome.png.jpg",-1.34864237,557.8218085,6.777209458,0.017015845,0.011565398,"empty","EMBO_2012_Group1",1,"empty",90,74,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00074--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"25",25,306,"EMBO_2012_Group1--empty--empty--W0062--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0062--P001--T00090--Z000--C01.ome.png.jpg",-1.347928092,587.7026144,7.221219484,0.017853107,0.011903484,"empty","EMBO_2012_Group1",1,"empty",90,62,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00062--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"26",26,354,"EMBO_2012_Group1--empty--empty--W0064--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0064--P001--T00090--Z000--C01.ome.png.jpg",-1.349814986,561.9124294,7.435289744,0.018700939,0.012882225,"empty","EMBO_2012_Group1",1,"empty",90,64,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00064--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"27",27,481,"EMBO_2012_Group1--empty--empty--W0061--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0061--P001--T00090--Z000--C01.ome.png.jpg",-1.229016208,554.014553,7.257751784,0.019008861,0.012618501,"empty","EMBO_2012_Group1",1,"empty",90,61,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00061--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"28",28,325,"EMBO_2012_Group1--s21911--CIT--W0063--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--s21911--CIT--W0063--P001--T00090--Z000--C01.ome.png.jpg",-1.363296744,628.5261538,7.81758598,0.017603656,0.011846565,"CIT","EMBO_2012_Group1",1,"s21911",90,63,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00063--s21911--CIT/P00001--s21911--CIT","/g/EMBO_HTM_2012--cp/images","CIT_s21911","EMBO_2012_Group1__CIT"
"29",29,425,"EMBO_2012_Group1--empty--empty--W0026--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0026--P001--T00090--Z000--C01.ome.png.jpg",-1.320421341,544.5435294,7.29261906,0.019081888,0.012737714,"empty","EMBO_2012_Group1",1,"empty",90,26,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00026--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"30",30,335,"EMBO_2012_Group1--empty--empty--W0028--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0028--P001--T00090--Z000--C01.ome.png.jpg",-1.250013826,556.4179104,7.668558259,0.021129062,0.013366184,"empty","EMBO_2012_Group1",1,"empty",90,28,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00028--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"31",31,464,"EMBO_2012_Group1--empty--empty--W0025--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0025--P001--T00090--Z000--C01.ome.png.jpg",-1.340899506,568.4094828,7.04349068,0.01711159,0.011726676,"empty","EMBO_2012_Group1",1,"empty",90,25,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00025--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"32",32,342,"EMBO_2012_Group1--empty--empty--W0027--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0027--P001--T00090--Z000--C01.ome.png.jpg",-1.220797961,564.5994152,7.032440257,0.01777328,0.012007654,"empty","EMBO_2012_Group1",1,"empty",90,27,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00027--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"33",33,146,"EMBO_2012_Group2--s7903--KIF11--W0011--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--s7903--KIF11--W0011--P001--T00090--Z000--C01.ome.png.jpg",-0.914117095,541.7465753,6.821659721,0.028137011,0.012483653,"KIF11","EMBO_2012_Group2",1,"s7903",90,11,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00011--s7903--KIF11/P00001--s7903--KIF11","/g/EMBO_HTM_2012--cp/images","KIF11_s7903","EMBO_2012_Group2__KIF11"
"34",34,207,"EMBO_2012_Group2--empty--empty--W0010--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--empty--empty--W0010--P001--T00090--Z000--C01.ome.png.jpg",-1.505210816,651.2898551,6.498223431,0.015094355,0.009618167,"empty","EMBO_2012_Group2",1,"empty",90,10,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00010--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group2__empty"
"35",35,237,"EMBO_2012_Group2--empty--empty--W0012--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--empty--empty--W0012--P001--T00090--Z000--C01.ome.png.jpg",-1.341941051,662.0590717,7.189718329,0.018148841,0.010541021,"empty","EMBO_2012_Group2",1,"empty",90,12,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00012--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group2__empty"
"36",36,307,"EMBO_2012_Group2--s444246--XWNeg9--W0009--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--s444246--XWNeg9--W0009--P001--T00090--Z000--C01.ome.png.jpg",-1.598452125,692.6514658,6.228275942,0.012535775,0.008563961,"XWNeg9","EMBO_2012_Group2",1,"s444246",90,9,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00009--s444246--XWNeg9/P00001--s444246--XWNeg9","/g/EMBO_HTM_2012--cp/images","XWNeg9_s444246","EMBO_2012_Group2__XWNeg9"
"37",37,299,"EMBO_2012_Group1--empty--empty--W0077--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0077--P001--T00090--Z000--C01.ome.png.jpg",-1.445807574,540.9531773,6.910279771,0.017875619,0.012304193,"empty","EMBO_2012_Group1",1,"empty",90,77,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00077--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"38",38,307,"EMBO_2012_Group1--empty--empty--W0080--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0080--P001--T00090--Z000--C01.ome.png.jpg",-1.234426134,573.0358306,7.276548666,0.019150378,0.012548493,"empty","EMBO_2012_Group1",1,"empty",90,80,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00080--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"39",39,195,"EMBO_2012_Group1--s7903--KIF11--W0078--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--s7903--KIF11--W0078--P001--T00090--Z000--C01.ome.png.jpg",-1.268531114,508.6974359,9.03585086,0.031622794,0.017027841,"KIF11","EMBO_2012_Group1",1,"s7903",90,78,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00078--s7903--KIF11/P00001--s7903--KIF11","/g/EMBO_HTM_2012--cp/images","KIF11_s7903","EMBO_2012_Group1__KIF11"
"40",40,380,"EMBO_2012_Group1--empty--empty--W0079--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0079--P001--T00090--Z000--C01.ome.png.jpg",-1.27840876,572.1289474,7.481206173,0.019190205,0.012537562,"empty","EMBO_2012_Group1",1,"empty",90,79,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00079--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"41",41,287,"EMBO_2012_Group1--empty--empty--W0046--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0046--P001--T00090--Z000--C01.ome.png.jpg",-1.375434249,546.5017422,7.130850219,0.018249907,0.012446893,"empty","EMBO_2012_Group1",1,"empty",90,46,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00046--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"42",42,223,"EMBO_2012_Group1--s21911--CIT--W0047--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--s21911--CIT--W0047--P001--T00090--Z000--C01.ome.png.jpg",-1.337480119,647.8430493,9.470848263,0.024029751,0.014494622,"CIT","EMBO_2012_Group1",1,"s21911",90,47,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00047--s21911--CIT/P00001--s21911--CIT","/g/EMBO_HTM_2012--cp/images","CIT_s21911","EMBO_2012_Group1__CIT"
"43",43,166,"EMBO_2012_Group1--empty--empty--W0048--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0048--P001--T00090--Z000--C01.ome.png.jpg",-1.259910122,608.2590361,9.181978799,0.027272015,0.014907877,"empty","EMBO_2012_Group1",1,"empty",90,48,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00048--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"44",44,274,"EMBO_2012_Group1--empty--empty--W0045--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0045--P001--T00090--Z000--C01.ome.png.jpg",-1.277388344,528.8357664,7.073782056,0.019798977,0.013058119,"empty","EMBO_2012_Group1",1,"empty",90,45,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00045--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"45",45,160,"EMBO_2012_Group1--empty--empty--W0072--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0072--P001--T00090--Z000--C01.ome.png.jpg",-1.321696632,631.23125,9.91593946,0.025434417,0.01525477,"empty","EMBO_2012_Group1",1,"empty",90,72,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00072--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"46",46,299,"EMBO_2012_Group1--empty--empty--W0070--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0070--P001--T00090--Z000--C01.ome.png.jpg",-1.273037439,612.0568562,9.252481105,0.024638637,0.01480542,"empty","EMBO_2012_Group1",1,"empty",90,70,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00070--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"47",47,434,"EMBO_2012_Group1--empty--empty--W0069--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0069--P001--T00090--Z000--C01.ome.png.jpg",-1.247174472,557.0115207,7.703314473,0.020149789,0.013326344,"empty","EMBO_2012_Group1",1,"empty",90,69,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00069--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"48",48,255,"EMBO_2012_Group1--s7424--INCENP--W0071--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--s7424--INCENP--W0071--P001--T00090--Z000--C01.ome.png.jpg",-1.282104319,643.4078431,10.13796419,0.026961858,0.015210911,"INCENP","EMBO_2012_Group1",1,"s7424",90,71,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00071--s7424--INCENP/P00001--s7424--INCENP","/g/EMBO_HTM_2012--cp/images","INCENP_s7424","EMBO_2012_Group1__INCENP"
"49",49,398,"EMBO_2012_Group1--empty--empty--W0068--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0068--P001--T00090--Z000--C01.ome.png.jpg",-1.331807836,553.5226131,7.448858688,0.019291664,0.01287275,"empty","EMBO_2012_Group1",1,"empty",90,68,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00068--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"50",50,436,"EMBO_2012_Group1--empty--empty--W0065--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0065--P001--T00090--Z000--C01.ome.png.jpg",-1.378109796,557.6880734,7.228904398,0.018318246,0.012482009,"empty","EMBO_2012_Group1",1,"empty",90,65,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00065--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"51",51,410,"EMBO_2012_Group1--empty--empty--W0067--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0067--P001--T00090--Z000--C01.ome.png.jpg",-1.520001484,633.095122,10.43155588,0.022804409,0.014903744,"empty","EMBO_2012_Group1",1,"empty",90,67,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00067--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"52",52,309,"EMBO_2012_Group1--empty--empty--W0066--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group1--empty--empty--W0066--P001--T00090--Z000--C01.ome.png.jpg",-1.448879082,555.7378641,7.331273531,0.01856234,0.012386123,"empty","EMBO_2012_Group1",1,"empty",90,66,"/g/EMBO_HTM_2012/EMBO_2012_Group1/W00066--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group1__empty"
"53",53,96,"EMBO_2012_Group2--s449--PLK1--W0039--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--s449--PLK1--W0039--P001--T00090--Z000--C01.ome.png.jpg",-0.912643522,462.4375,5.735906441,0.02861051,0.012346547,"PLK1","EMBO_2012_Group2",1,"s449",90,39,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00039--s449--PLK1/P00001--s449--PLK1","/g/EMBO_HTM_2012--cp/images","PLK1_s449","EMBO_2012_Group2__PLK1"
"54",54,243,"EMBO_2012_Group2--s4445--ECT2--W0037--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--s4445--ECT2--W0037--P001--T00090--Z000--C01.ome.png.jpg",-1.759137469,707.1563786,5.826707765,0.011861419,0.007918531,"ECT2","EMBO_2012_Group2",1,"s4445",90,37,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00037--s4445--ECT2/P00001--s4445--ECT2","/g/EMBO_HTM_2012--cp/images","ECT2_s4445","EMBO_2012_Group2__ECT2"
"55",55,290,"EMBO_2012_Group2--empty--empty--W0038--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--empty--empty--W0038--P001--T00090--Z000--C01.ome.png.jpg",-1.584559923,583.9413793,4.94190271,0.011370721,0.008231193,"empty","EMBO_2012_Group2",1,"empty",90,38,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00038--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group2__empty"
"56",56,292,"EMBO_2012_Group2--s229174--Scramble--W0040--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--s229174--Scramble--W0040--P001--T00090--Z000--C01.ome.png.jpg",-1.613618813,624.9280822,5.007490841,0.010521572,0.007701794,"Scramble","EMBO_2012_Group2",1,"s229174",90,40,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00040--s229174--Scramble/P00001--s229174--Scramble","/g/EMBO_HTM_2012--cp/images","Scramble_s229174","EMBO_2012_Group2__Scramble"
"57",57,172,"EMBO_2012_Group2--empty--empty--W0082--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--empty--empty--W0082--P001--T00090--Z000--C01.ome.png.jpg",-0.983096298,411.9651163,6.453844522,0.030273729,0.015201393,"empty","EMBO_2012_Group2",1,"empty",90,82,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00082--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group2__empty"
"58",58,192,"EMBO_2012_Group2--empty--empty--W0083--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--empty--empty--W0083--P001--T00090--Z000--C01.ome.png.jpg",-1.412879369,707.2760417,7.41176892,0.018008276,0.010245696,"empty","EMBO_2012_Group2",1,"empty",90,83,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00083--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group2__empty"
"59",59,140,"EMBO_2012_Group2--s449--PLK1--W0081--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--s449--PLK1--W0081--P001--T00090--Z000--C01.ome.png.jpg",-0.798008412,444.5214286,5.749188382,0.031278379,0.012680402,"PLK1","EMBO_2012_Group2",1,"s449",90,81,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00081--s449--PLK1/P00001--s449--PLK1","/g/EMBO_HTM_2012--cp/images","PLK1_s449","EMBO_2012_Group2__PLK1"
"60",60,166,"EMBO_2012_Group2--s2748--CDC20--W0084--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--s2748--CDC20--W0084--P001--T00090--Z000--C01.ome.png.jpg",-1.094335435,600.9036145,6.255087161,0.02084328,0.010474457,"CDC20","EMBO_2012_Group2",1,"s2748",90,84,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00084--s2748--CDC20/P00001--s2748--CDC20","/g/EMBO_HTM_2012--cp/images","CDC20_s2748","EMBO_2012_Group2__CDC20"
"61",61,251,"EMBO_2012_Group2--empty--empty--W0077--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--empty--empty--W0077--P001--T00090--Z000--C01.ome.png.jpg",-1.115527643,548.0398406,5.348186809,0.014737429,0.009625848,"empty","EMBO_2012_Group2",1,"empty",90,77,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00077--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group2__empty"
"62",62,153,"EMBO_2012_Group2--s7903--KIF11--W0078--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--s7903--KIF11--W0078--P001--T00090--Z000--C01.ome.png.jpg",-0.732344596,397.7777778,5.56099629,0.03382905,0.013900484,"KIF11","EMBO_2012_Group2",1,"s7903",90,78,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00078--s7903--KIF11/P00001--s7903--KIF11","/g/EMBO_HTM_2012--cp/images","KIF11_s7903","EMBO_2012_Group2__KIF11"
"63",63,329,"EMBO_2012_Group2--empty--empty--W0080--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--empty--empty--W0080--P001--T00090--Z000--C01.ome.png.jpg",-1.447661769,587.656535,4.927847296,0.011100514,0.008129675,"empty","EMBO_2012_Group2",1,"empty",90,80,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00080--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group2__empty"
"64",64,333,"EMBO_2012_Group2--empty--empty--W0079--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--empty--empty--W0079--P001--T00090--Z000--C01.ome.png.jpg",-1.464002274,594.6696697,5.706526783,0.013337397,0.009006639,"empty","EMBO_2012_Group2",1,"empty",90,79,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00079--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group2__empty"
